-89.50, 0.81
-88.48, 0.82
-87.46, 0.82
-86.44, 0.83
-85.42, 0.83
-84.31, 0.89
-83.38, 1.51
-83.38, 0.84
-82.61, 0.67
-82.35, 1.84
-82.35, 1.18
-81.33, 1.43
-81.25, 2.18
-80.57, 1.85
-80.23, 2.52
-79.55, 2.19
-79.21, 2.86
-78.27, 3.53
-78.27, 2.86
-77.25, 3.12
-77.17, 3.87
-76.49, 3.54
-76.15, 4.21
-75.47, 3.71
-75.21, 4.88
-75.21, 4.21
-74.19, 5.22
-74.19, 4.55
-73.17, 4.81
-73.09, 5.56
-72.41, 5.23
-72.07, 5.90
-71.39, 5.56
-71.05, 6.24
-70.11, 7.24
-70.11, 6.57
-70.11, 5.99
-69.60, 7.91
-69.09, 8.58
-69.09, 7.25
-69.09, 6.66
-68.58, 9.26
-68.58, 7.92
-68.32, 7.42
-68.07, 9.93
-68.07, 8.59
-67.81, 8.09
-67.47, 10.60
-67.47, 9.32
-67.05, 11.60
-66.79, 9.76
-66.54, 12.27
-66.54, 10.94
-66.54, 10.35
-66.03, 12.95
-66.03, 11.61
-65.77, 11.11
-65.52, 13.62
-65.52, 12.28
-65.26, 11.78
-64.92, 14.29
-64.92, 12.95
-64.50, 15.29
-64.24, 13.96
-64.24, 13.45
-63.90, 15.96
-63.90, 14.63
-63.48, 16.97
-63.22, 15.63
-63.22, 14.96
-62.88, 17.64
-62.88, 16.30
-62.46, 18.65
-62.20, 17.31
-62.20, 16.64
-61.86, 19.32
-61.86, 17.98
-61.44, 20.32
-61.18, 18.99
-61.18, 18.32
-60.84, 20.99
-60.84, 19.66
-60.42, 22.00
-60.16, 19.99
-59.91, 22.67
-59.91, 21.33
-59.91, 20.75
-59.40, 24.01
-59.40, 23.34
-59.40, 22.00
-59.14, 21.50
-58.80, 24.68
-58.80, 22.73
-58.37, 25.69
-58.37, 23.68
-58.12, 23.18
-57.86, 24.27
-57.78, 26.36
-57.78, 25.02
-57.27, 27.36
-57.10, 25.69
-57.10, 25.19
-56.76, 28.37
-56.76, 26.42
-56.25, 29.38
-56.25, 27.42
-55.82, 30.38
-55.82, 28.37
-55.57, 27.87
-55.31, 31.05
-55.31, 29.71
-55.31, 29.05
-54.80, 32.39
-54.80, 31.72
-54.80, 30.39
-54.55, 29.88
-54.21, 33.06
-54.21, 31.11
-53.70, 34.07
-53.70, 32.12
-53.19, 35.08
-53.19, 33.12
-52.68, 36.08
-52.68, 34.13
-52.17, 37.09
-52.17, 35.13
-51.66, 38.09
-51.66, 36.14
-51.15, 39.10
-51.15, 37.09
-50.64, 40.10
-50.64, 38.10
-50.21, 41.11
-50.21, 39.10
-49.96, 38.60
-49.70, 41.78
-49.70, 40.44
-49.70, 39.77
-49.11, 42.45
-49.11, 41.11
-48.68, 43.46
-48.43, 41.62
-48.17, 44.13
-48.17, 42.79
-48.17, 42.20
-47.58, 44.80
-47.58, 43.46
-47.15, 45.80
-46.89, 43.97
-46.64, 46.48
-46.64, 45.14
-46.64, 44.55
-46.04, 47.15
-46.04, 45.81
-45.62, 48.15
-45.36, 46.81
-45.36, 46.31
-45.02, 48.82
-45.02, 47.49
-44.51, 49.83
-44.34, 48.16
-44.34, 47.65
-44.00, 50.83
-44.00, 48.88
-43.49, 51.84
-43.49, 49.89
-42.98, 52.85
-42.98, 50.89
-42.47, 53.85
-42.47, 51.84
-41.96, 54.86
-41.96, 52.85
-41.45, 55.86
-41.45, 53.86
-40.94, 56.87
-40.94, 54.86
-40.43, 57.87
-40.43, 55.87
-39.92, 58.88
-39.92, 56.87
-39.41, 59.89
-39.41, 57.88
-38.99, 60.89
-38.99, 58.88
-38.73, 58.38
-38.48, 61.39
-38.48, 59.47
-38.39, 62.23
-38.39, 60.22
-37.88, 63.24
-37.71, 60.90
-37.46, 64.24
-37.46, 62.23
-37.46, 61.65
-36.95, 64.75
-36.95, 62.82
-36.86, 65.58
-36.86, 63.58
-36.35, 66.59
-36.18, 64.92
-36.18, 64.25
-35.84, 67.59
-35.84, 65.59
-35.42, 68.60
-35.42, 66.59
-35.16, 66.09
-34.90, 69.27
-34.90, 67.93
-34.90, 67.26
-34.39, 69.94
-34.39, 68.60
-33.88, 70.61
-33.88, 69.27
-33.37, 71.28
-33.37, 69.95
-32.86, 71.95
-32.86, 70.62
-32.35, 72.63
-32.35, 71.29
-31.84, 73.30
-31.84, 71.96
-31.33, 73.97
-31.33, 72.63
-30.82, 74.64
-30.82, 73.30
-30.23, 75.31
-30.23, 74.03
-29.80, 76.32
-29.55, 74.48
-29.29, 76.99
-29.29, 75.65
-29.29, 75.06
-28.70, 77.66
-28.70, 76.32
-28.27, 78.66
-28.02, 76.82
-27.76, 79.33
-27.76, 78.00
-27.76, 77.41
-27.17, 80.01
-27.17, 78.67
-26.74, 81.01
-26.49, 79.17
-26.23, 81.68
-26.23, 80.34
-26.23, 79.76
-25.72, 82.35
-25.72, 81.01
-25.47, 80.51
-25.21, 83.02
-25.21, 81.69
-24.70, 83.70
-24.70, 82.36
-24.11, 84.37
-24.11, 83.08
-23.43, 83.53
-23.17, 85.37
-23.17, 84.70
-23.17, 84.12
-22.66, 86.04
-22.40, 84.71
-22.06, 86.72
-22.06, 85.43
-21.38, 85.88
-21.13, 87.72
-21.13, 87.05
-21.13, 86.39
-20.53, 88.39
-20.36, 86.89
-20.11, 87.48
-19.85, 88.06
-19.60, 88.57
-19.51, 89.40
-18.83, 89.07
-18.83, 88.57
-18.58, 89.57
-18.49, 90.41
-17.81, 90.08
-17.81, 89.58
-17.56, 90.58
-17.47, 91.42
-16.79, 90.58
-16.54, 92.42
-16.54, 91.76
-16.54, 91.17
-15.94, 93.10
-15.77, 91.59
-15.52, 92.26
-15.01, 92.93
-14.92, 93.77
-14.24, 93.27
-13.99, 93.69
-13.90, 94.44
-13.22, 94.11
-12.97, 94.61
-12.88, 95.45
-12.20, 94.78
-11.95, 95.29
-11.86, 96.12
-11.18, 95.62
-10.92, 96.04
-10.84, 96.79
-10.16, 96.30
-9.90, 97.47
-9.90, 96.80
-8.88, 97.05
-8.80, 97.81
-8.12, 97.47
-7.78, 98.14
-7.10, 97.64
-6.84, 98.82
-6.84, 98.15
-6.08, 97.98
-5.82, 99.16
-5.82, 98.49
-4.80, 99.49
-4.80, 98.82
-4.04, 98.99
-3.70, 99.50
-2.76, 99.84
-2.76, 99.25
-1.74, 100.00
-1.74, 100.00
-0.98, 100.00
-0.64, 100.00
0.30, 100.00
0.30, 100.00
1.32, 100.00
1.32, 100.00
2.34, 100.00
2.34, 99.52
3.36, 99.86
3.36, 99.27
4.38, 99.69
4.38, 99.11
5.40, 99.53
5.40, 98.86
6.42, 99.20
6.42, 98.53
6.93, 98.11
7.44, 98.70
7.95, 97.87
8.46, 98.37
8.46, 97.45
9.48, 97.87
9.48, 97.20
10.08, 96.65
10.50, 97.37
11.01, 95.87
11.10, 96.54
12.03, 96.38
12.03, 95.71
12.03, 95.20
13.06, 95.71
13.06, 95.04
13.06, 94.54
14.08, 95.04
14.08, 94.38
14.08, 93.87
15.10, 94.38
15.10, 93.71
15.10, 93.04
15.86, 93.88
16.12, 93.21
16.12, 92.54
16.12, 91.96
16.88, 92.88
17.14, 92.21
17.14, 91.54
17.14, 90.96
17.90, 91.88
18.16, 91.21
18.16, 90.54
18.16, 89.96
18.92, 90.88
19.18, 90.21
19.18, 89.54
19.18, 88.96
19.94, 89.88
20.20, 89.21
20.20, 88.54
20.20, 87.96
20.71, 87.46
20.96, 88.88
21.22, 88.21
21.22, 86.87
21.73, 87.54
21.73, 86.29
22.24, 85.79
22.32, 86.88
22.75, 85.21
23.00, 86.55
23.26, 85.88
23.26, 84.62
23.77, 85.21
23.77, 83.95
24.28, 83.45
24.37, 84.54
24.79, 82.87
25.05, 84.21
25.30, 83.54
25.30, 82.20
25.90, 82.87
25.90, 81.54
26.41, 80.53
26.58, 82.21
26.83, 81.54
26.83, 79.62
27.34, 80.87
27.34, 80.20
27.34, 78.95
27.85, 79.54
27.85, 78.20
28.11, 80.21
28.45, 78.87
28.45, 77.53
28.87, 76.61
29.13, 78.54
29.38, 77.70
29.38, 77.03
29.47, 75.86
29.89, 74.94
30.15, 76.87
30.40, 76.20
30.40, 75.53
30.40, 74.28
30.91, 73.78
31.00, 74.86
31.42, 73.19
31.68, 74.53
31.93, 73.86
31.93, 72.52
32.44, 73.20
32.44, 71.86
32.95, 72.53
32.95, 71.19
33.46, 71.86
33.46, 70.52
33.97, 71.19
33.97, 69.85
34.48, 70.53
34.48, 69.19
34.99, 69.86
34.99, 68.52
34.99, 67.93
35.59, 69.19
35.59, 67.18
36.10, 68.19
36.10, 66.18
36.27, 64.68
36.61, 67.19
36.61, 65.18
37.04, 66.19
37.04, 64.18
37.04, 63.59
37.55, 65.35
37.55, 64.68
37.63, 62.84
38.14, 63.85
38.14, 61.84
38.31, 60.33
38.65, 62.85
38.65, 60.84
39.08, 61.84
39.08, 59.84
39.08, 59.25
39.59, 61.01
39.59, 60.34
39.67, 58.50
40.18, 59.50
40.18, 57.50
40.69, 58.50
40.69, 56.50
41.12, 57.50
41.12, 55.49
41.63, 56.83
41.63, 56.16
41.63, 54.83
41.63, 54.24
42.22, 55.50
42.22, 53.49
42.73, 54.50
42.73, 52.49
43.24, 53.49
43.24, 51.49
43.75, 52.49
43.75, 50.48
44.26, 51.49
44.26, 49.48
44.69, 48.73
44.77, 50.49
44.94, 47.64
45.28, 49.49
45.28, 48.15
45.79, 47.15
45.96, 48.82
46.22, 48.15
46.22, 46.23
46.73, 47.32
46.73, 46.65
46.81, 45.48
47.24, 44.56
47.49, 46.48
47.75, 45.81
47.75, 45.14
47.75, 43.89
48.35, 44.48
48.35, 43.14
48.77, 42.22
49.03, 44.15
49.28, 43.48
49.28, 42.81
49.28, 41.55
49.88, 42.14
49.88, 40.80
50.30, 39.80
50.56, 41.81
50.81, 41.14
50.81, 40.47
50.81, 39.13
50.81, 38.55
51.41, 39.80
51.41, 37.80
51.92, 38.80
51.92, 36.79
52.43, 37.80
52.43, 35.79
52.85, 35.04
52.94, 36.80
53.36, 33.62
53.45, 35.80
53.45, 34.46
53.87, 33.04
54.13, 35.13
54.13, 31.95
54.38, 34.29
54.38, 33.62
54.47, 32.45
54.64, 30.95
54.98, 31.45
55.15, 33.13
55.15, 29.95
55.40, 32.29
55.49, 30.45
55.66, 28.95
55.91, 31.29
56.00, 29.45
56.42, 30.45
56.42, 28.45
56.42, 27.86
56.93, 29.62
56.93, 28.95
56.93, 27.36
57.19, 26.27
57.53, 28.12
57.53, 26.78
57.70, 25.27
58.04, 25.78
58.21, 27.45
58.21, 24.27
58.46, 26.61
58.55, 24.77
58.97, 25.78
58.97, 23.77
58.97, 23.19
59.48, 24.94
59.48, 24.27
59.48, 22.69
59.74, 21.60
60.08, 23.44
60.08, 22.10
60.59, 21.10
60.76, 22.77
61.02, 22.11
61.02, 20.10
61.53, 21.27
61.53, 20.60
61.61, 19.43
62.04, 18.43
62.29, 20.44
62.55, 19.60
62.55, 18.93
62.63, 17.76
63.06, 16.76
63.31, 18.77
63.57, 17.93
63.57, 17.26
63.65, 16.09
64.08, 15.09
64.33, 17.10
64.59, 16.26
64.59, 15.59
64.67, 14.42
65.10, 13.50
65.35, 15.43
65.61, 14.59
65.61, 13.92
65.61, 13.00
66.12, 12.42
66.12, 11.83
66.37, 13.76
66.63, 13.09
66.63, 11.17
67.14, 12.42
67.14, 11.76
67.14, 10.50
67.65, 11.09
67.65, 9.83
67.90, 11.76
68.16, 9.33
68.24, 10.42
68.67, 8.75
68.92, 10.09
69.18, 9.42
69.18, 8.08
69.18, 7.50
69.69, 8.75
69.69, 6.83
70.20, 8.09
70.20, 7.42
70.71, 6.75
71.22, 7.25
71.22, 6.33
72.24, 6.75
72.24, 6.09
72.75, 5.67
73.26, 6.26
73.77, 5.42
74.28, 5.93
74.79, 5.09
75.30, 5.59
75.30, 4.67
76.32, 5.10
76.32, 4.43
76.83, 4.01
77.34, 4.60
77.85, 3.76
78.36, 4.27
78.87, 3.43
79.38, 3.94
79.38, 3.02
80.40, 3.44
80.40, 2.77
80.91, 2.35
81.42, 2.94
81.93, 2.11
82.44, 2.61
82.95, 1.77
83.47, 2.28
83.47, 1.36
84.49, 1.78
84.49, 1.28
85.51, 1.45
86.53, 1.45
87.55, 1.46
88.57, 1.46
89.59, 1.46
90.35, 1.47
